"대학명","전형명","전형구분","모집인원","지원자격","단계1","단계2","최저학력기준","면접고사일","면접유형","특이사항"
"성균관대","융합형","종합전형","329(무전공20)","제한없음","서류100","-","국,수,영,탐(2) 중 3개 등급 합 6 이내","-","면접없음 (서류100)","2027 수능 최저 3합 6 신설!"
"성균관대","탐구형","종합전형","589(무전공30)","제한없음","서류100","-","없음","-","면접없음 (서류100)","수능 최저 미적용 서류 100%"
"성균관대","과학인재","종합전형","155","제한없음","서류100(7배수)","서류70+면접30","없음","2026-11-01(일)","수학/과학 제시문 면접","자연계열 과학 특화 심층면접"
"성균관대","성과인재","종합전형","196(무전공70)","제한없음","서류100(학과별배수)","서류70+면접30","없음","2026-10-25(일) [스포츠] / 11-08(일) [사범대,의예,글로벌융합,자유전공]","인적성 및 서류기반 면접","학과별 1단계 배수 상이"
"한양대","추천형(교과)","교과전형","346(무전공42)","재수(추천11%)","교과90+정성10","-","국,수,영,탐(1) 중 3개 등급 합 7 이내","-","면접없음","정량 90 + 정성 10"
"한양대","추천형(종합)","종합전형","300(무전공15)","재수(추천11%)","서류100","-","국,수,영,탐(1) 중 3개 등급 합 7 이내","-","면접없음 (서류100)","수능 최저 적용 종합전형"
"한양대","서류형(종합)","종합전형","518(무전공25)","제한없음","서류100","-","없음","-","면접없음 (서류100)","수능 최저 미적용 서류 100%"
"한양대","면접형(종합)","종합전형","138(자연20)","제한없음","서류100(7배수)","서류70+면접30","없음","2026-11-22(토) [공과대,인터컬리지 (비대면)] / 12-05(토) [의예] / 12-06(일) [사범대]","생기부기반(사범대)/제시문(자연,의예)","공과대 현장녹화 비대면 면접"
"중앙대","지역균형","교과전형","508","재수(추천20명)","교과90+출석10","-","인문 상위10과목 / 3개 합 7 (영어1인정)","-","면접없음","영어 1,2등급 1등급 간주!"
"중앙대","CAU융합형인재","종합전형","378","제한없음","서류100 (의학부 3배수)","서류70+면접30 (의학부만)","없음","2026-12-06(일) [의학부만]","서류기반 면접 (의학부만)","일반학과 면접 없음 서류100"
"중앙대","CAU탐구형인재","종합전형","512","제한없음","서류100(학과별배수)","서류70+면접30","없음","2026-12-05(토) ~ 12-06(일)","학업준비도, 전공적성 면접","전과목 정성평가 및 탐구역량 심층"
"중앙대","성장형인재","종합전형","108","제한없음","서류100(5배수)","서류70+면접30","3개 영역 합 6 이내 (영어1인정)","2026-12-05(토)","서류 기반 심층 면접","2027 신설 전형, 최저 3합 6 적용"
"이화여대","고교추천","교과전형","377","재수(추천20명)","교과80+면접20","-","없음","2026-10-24(토) ~ 10-25(일)","학생부 기반 면접 20%","수능 최저 미적용, 면접 20%"
"이화여대","미래인재(서류형)","종합전형","909(무전공21)","제한없음","서류100","-","인문 국어 포함 2개 합 5 / 자연 수학 포함 2개 합 5","-","면접없음 (서류100)","국어/수학 지정 최저학력기준"
"이화여대","미래인재(면접형)","종합전형","209(무전공6)","제한없음","서류100(5배수)","서류70+면접30","없음","2026-11-21(토) [인문/자연] / 11-22(일) [자연]","생기부 기반 면접","수능 최저 미적용 5배수 1단계"
"경희대","지역균형","교과전형","604(무전공158)","3수(추천무제한)","교과70(56+7+7)+정성30","-","국,수,영,탐(1) 중 2개 등급 합 5 이내","-","면접없음","추천인원 제한 없음, 정성 30%"
"경희대","네오르네상스","종합전형","1,076(무전공12)","제한없음","서류100(3배수, 의약학 4배수)","서류70+면접30","없음 (의약학만 3개 합 4)","2026-12-05(토) ~ 12-06(일)","인성, 전공적합성 면접","의약학 외 최저 미적용 18분 면접"
"한국외대","학교장추천","교과전형","198(무전공15)","재수(추천10명)","교과100","-","국,수,영,탐(1) 중 2개 등급 합 4 이내","-","면접없음","원점수 vs 등급점수 Max 적용!"
"한국외대","학생부종합(면접형)","종합전형","277","제한없음","서류100(3배수)","서류50+면접50","없음","2026-11-21(토)","진로개발, 협력소통 면접 (면접 50%)","★ 2단계 면접 50% 역전 기회!"
"한국외대","학생부종합(서류형)","종합전형","303(무전공14)","제한없음","서류100","-","없음","-","면접없음 (서류100)","수능 최저 미적용 서류 100%"
"건국대","KU지역균형","교과전형","345(무전공132)","제한없음(추천무제한)","교과70+정성30","-","없음","-","면접없음","추천인원 제한 없음! 정성 30%"
"건국대","KU자기추천","종합전형","903(무전공183)","제한없음","서류100(3배수)","서류70+면접30","없음","2026-12-05(토) ~ 12-06(일)","제출서류 기반 면접","수능 최저 미적용 10분 면접"
"동국대","학교장추천인재","교과전형","409(무전공50)","제한없음(추천8명)","교과70+서류30","-","없음","-","면접없음","★ 상위 10과목 반영 ➔ 4.80등급 대반등"
"동국대","Do Dream","종합전형","655","제한없음","서류100(2.5~3.5배수)","서류70+면접30","없음","2026-12-11(금) ~ 12-13(일)","제출서류 기반 면접","수능 후 12월 중순 면접"
"숙명여대","지역균형선발","교과전형","287(무전공29)","제한없음(추천무제한)","교과70+서류30","-","없음 (약학만 3개 합 5)","-","면접없음","★ 2027 서류 30% 신설! 최저 폐지!"
"숙명여대","숙명인재(면접형)","종합전형","361","제한없음","서류100(4배수)","서류70+면접30","없음","2026-11-28(토) ~ 11-29(일)","제출서류 기반 면접","4배수 1단계 확대"
"서울시립대","지역균형선발","교과전형","254(무전공15)","재수(추천20명)","교과90+서류10","-","국,수,영,탐(1) 중 3개 등급 합 8 이내","-","면접없음","추천인원 20명 제한"
"서울시립대","학생부종합I(면접형)","종합전형","410","제한없음","서류100(3배수)","서류50+면접50","없음","2026-11-28(토) [인문,예체] / 11-29(일) [자연]","사고력, 문제해결, 공적윤리 면접","2단계 면접 50% 반영"
"국민대","국민프런티어","종합전형","680","제한없음","서류100(3배수)","서류70+면접30","없음","2026-11-21(토) [자연] / 11-22(일) [인문]","제출서류 기반 면접","수능 직후 주말 면접"
"숭실대","SSU미래인재(면접)","종합전형","522","제한없음","서류100(3~3.5배수)","서류50+면접50","없음","2026-11-27(금)","제출서류 기반 면접 (면접 50%)","금요일 면접 진행"
"숭실대","SSU미래인재(서류)","종합전형","163(무전공18)","제한없음","서류100","-","없음","-","면접없음 (서류100)","2027 서류형 신설!"
"세종대","세종인재(면접형)","종합전형","364","제한없음","서류100(3배수)","서류60+면접40","없음","2026-11-22(일)","제출서류 기반 면접","서류 60% + 면접 40%"
"단국대","DKU인재(면접형)","종합전형","159","제한없음","서류100(3배수)","서류70+면접30","없음","2026-12-05(토) [인문] / 12-06(일) [자연]","제출서류 기반 면접","12월 첫째주 면접"
"광운대","광운참빛인재I(면접)","종합전형","250","제한없음","서류100(3.5배수)","서류60+면접40","없음","2026-10-31(토) ~ 11-01(일)","제출서류 기반 면접","수능 전 10월 말 면접 진행!"
"명지대","명지인재(면접)","종합전형","379","제한없음","서류100(4배수)","서류70+면접30","없음","2026-11-28(토) ~ 11-29(일)","제출서류 기반 면접","11월 말 면접 진행"
"아주대","ACE전형","종합전형","519","제한없음","서류100(3배수)","서류70+면접30","없음 (의약학 4합6/3합5)","2026-11-22(일) [공대] / 11-28(토) [자연] / 11-29(일) [경영,인문]","제출서류 기반 면접","학과별 면접일 상이"
"인하대","인하미래인재(면접)","종합전형","939","제한없음","서류100(3.5배수)","서류70+면접30","없음","2026-11-21(토) ~ 11-22(일)","제출서류 기반 면접","수능 직후 주말 면접 진행"
"서울과기대","학교생활우수","종합전형","496(무전공18)","제한없음","서류100(3배수)","서류70+면접30","없음","2026-11-28(토)","제출서류 기반 면접","11월 28일 토요일 면접"
"덕성여대","덕성인재II(면접)","종합전형","240(무전공64)","제한없음","서류100(4배수)","서류60+면접40","없음","2026-11-21(토) ~ 11-22(일)","제출서류 기반 면접","수능 직후 주말 면접"
"동덕여대","동덕창의리더","종합전형","255","제한없음","서류100(3배수)","서류40+면접60","없음","2026-10-31(토) ~ 11-01(일)","면접 60% 반영","수능 전 10월 말 면접, 면접비중 60%"
"UNIST","수시 학종(경영계열)","과기원 종합","경영계열 별도선발","군외 (6회 제한 없음)","서류100","-","없음","-","면접없음 (서류100)","유일 경영계열 별도 선발! 군외 7번째 카드로 활용"
